Date,Clicks,Impressions,CTR,Position
2026-08-23,6,52,11.54%,9.6
2026-08-24,3,36,8.33%,5.2
2026-08-25,4,41,9.76%,20.1
2026-08-26,2,33,6.06%,27.9
2026-08-27,2,37,5.41%,31.1
2026-08-28,2,22,9.09%,39.8
2026-08-29,0,35,0%,55.5
2026-08-30,3,52,5.77%,31.7
2026-08-31,1,46,2.17%,21.4
2026-09-01,2,47,4.26%,15.6
2026-09-02,1,40,2.5%,19.8
2026-09-03,0,41,0%,18.9
2026-09-04,0,35,0%,11.9
2026-09-05,0,31,0%,23.2
2026-09-06,0,22,0%,13.5
2026-09-07,1,45,2.22%,18.4
2026-09-08,0,41,0%,16.6
2026-09-09,1,62,1.61%,8.3
2026-09-10,0,162,0%,19.8
2026-09-11,2,122,1.64%,12.6
2026-09-12,2,158,1.27%,12.7
2026-09-13,4,178,2.25%,12.0
2026-09-14,0,213,0%,11.0
2026-09-15,3,214,1.4%,9.7
2026-09-16,7,246,2.85%,14.9
2026-09-17,3,206,1.46%,11.6
2026-09-18,3,185,1.62%,10.4
2026-09-19,2,197,1.02%,10.8
