Top pages,Clicks,Impressions,CTR,Position
https://www.smdmedicare.in/,19,283,6.71%,5.1
https://www.smdmedicare.in/category/hospital-equipment/dialysis-machines,6,742,0.81%,14.93
https://www.smdmedicare.in/product/optiview-lm-300-auto-lensometer,6,89,6.74%,4.24
https://www.smdmedicare.in/category/hospital-equipment/anesthesia-machines,2,228,0.88%,14.32
https://www.smdmedicare.in/blog/dialysis-machine-price-in-india-2026-setup-cost-guide,2,206,0.97%,7.04
https://www.smdmedicare.in/product/fresenius-4008s-next-generation-hemodialysis-machine,2,106,1.89%,6.24
https://www.smdmedicare.in/categories,2,51,3.92%,9.29
https://www.smdmedicare.in/product/niscomed-twelve-channel-ecg-machine,2,14,14.29%,25.64
https://www.smdmedicare.in/about,1,64,1.56%,15.41
https://www.smdmedicare.in/product/medisys-excelsior-anaesthesia-machine,1,54,1.85%,7.93
https://www.smdmedicare.in/category/consumables/dialysis-consumables,1,38,2.63%,10.79
https://www.smdmedicare.in/product/medisys-medivent-gold,1,34,2.94%,6.97
https://www.smdmedicare.in/product/niscomed-three-channel-ecg-machine,1,19,5.26%,25.63
https://www.smdmedicare.in/product/medisys-neocare-ventilator,1,18,5.56%,8.17
https://www.smdmedicare.in/category/medical-devices/creatinine-meters,1,18,5.56%,57.17
https://www.smdmedicare.in/category/hospital-equipment,1,15,6.67%,32.0
https://www.smdmedicare.in/product/automatic-hospital-blood-pressure-monitor,1,14,7.14%,3.79
https://www.smdmedicare.in/product/portable-handheld-x-ray-machine,1,14,7.14%,51.14
https://www.smdmedicare.in/product/medisys-medivent-excel-ventilator,1,13,7.69%,5.85
https://www.smdmedicare.in/product/100ma-apr-mobile-x-ray-machine,1,12,8.33%,10.17
https://www.smdmedicare.in/product/300ma-x-ray-machine,1,10,10%,5.6
https://www.smdmedicare.in/product/fine-one-pro-stainless-steel-stethoscope,1,5,20%,8.2
https://www.smdmedicare.in/product/dr14w-and-dr17w-jpi-x-ray-detector,1,3,33.33%,1.67
https://www.smdmedicare.in/product/arterial-venous-blood-tubing-set-hemodialysis,1,3,33.33%,6.0
https://www.smdmedicare.in/blog/icu-ventilator-price-in-india-2026-agva-pro-setup-guide,0,70,0%,7.76
https://www.smdmedicare.in/blog/hospital-furniture-ot-equipment-buying-guide-for-clinics-in-india,0,52,0%,34.31
https://www.smdmedicare.in/contact,0,42,0%,19.79
https://www.smdmedicare.in/category/hospital-equipment/ventilators,0,39,0%,43.74
https://www.smdmedicare.in/product/agva-pro-icu-ventilator,0,38,0%,12.71
https://www.smdmedicare.in/category/hospital-equipment/x-ray-machines,0,38,0%,41.58
https://www.smdmedicare.in/category/nephrology/dialysis-machines,0,38,0%,53.13
https://www.smdmedicare.in/category/medical-devices/stethoscopes,0,36,0%,36.31
https://www.smdmedicare.in/blog/fresenius-vs-bbraun-dialysis-machine,0,34,0%,4.53
https://www.smdmedicare.in/blog/how-to-choose-reliable-diagnostic-test-kits-reagents-for-pathology-labs,0,27,0%,9.3
https://www.smdmedicare.in/category/cardiology/ecg-machines,0,24,0%,8.54
https://www.smdmedicare.in/product/medisys-baby-well-bubble,0,22,0%,8.18
https://www.smdmedicare.in/category/ophthalmology/lensometer,0,21,0%,23.57
https://www.smdmedicare.in/product/30ma-and-50ma-lightweight-portable-x-ray-machine,0,20,0%,10.1
https://www.smdmedicare.in/product/medisys-carewel,0,14,0%,7.21
https://www.smdmedicare.in/product/niscomed-twelve-channel-ecg-machine-flight-1200-niscomed-nd-106-fetal-doppler-free,0,13,0%,18.92
https://www.smdmedicare.in/category/hospital-furniture,0,12,0%,31.67
https://www.smdmedicare.in/category/medical-equipment,0,12,0%,39.58
https://www.smdmedicare.in/product/high-flux-hemodialyzer-1-8-sqm-f8,0,11,0%,5.73
https://www.smdmedicare.in/product/niscomed-3-channel-ecg-holter-machine,0,11,0%,12.0
https://www.smdmedicare.in/product/niscomed-portable-ecg-holter,0,11,0%,31.09
https://www.smdmedicare.in/product/dr-holder,0,10,0%,8.7
https://www.smdmedicare.in/blog/niscomed-12-channel-vs-3-channel-ecg,0,10,0%,9.0
https://www.smdmedicare.in/product/300ma-multi-position-x-ray-machine,0,9,0%,4.11
https://www.smdmedicare.in/category/medical-devices,0,9,0%,40.56
https://www.smdmedicare.in/category/consumables/heating-pads,0,8,0%,11.88
https://www.smdmedicare.in/category/ophthalmology,0,8,0%,46.75
https://www.smdmedicare.in/blog/best-practices-for-sterilization-maintenance-of-surgical-instruments-in-2026,0,7,0%,7.14
https://www.smdmedicare.in/category/diagnostics,0,7,0%,51.43
https://www.smdmedicare.in/category/medical-devices/pulse-oximeters,0,7,0%,58.14
https://www.smdmedicare.in/product/bain-dora-6000-hemodialysis-machine,0,6,0%,1.67
https://www.smdmedicare.in/product/covidien-argyle-peritoneal-dialysis-catheter-kit,0,6,0%,7.17
https://www.smdmedicare.in/product/northern-anesthesia-machine-atlas-n3,0,6,0%,11.17
https://www.smdmedicare.in/product/100ma-counter-balance-mobile-x-ray-machine,0,6,0%,15.17
https://www.smdmedicare.in/product/medisys-premium-anesthesia-machine,0,5,0%,8.8
https://www.smdmedicare.in/category/diagnostics/ecg-machines,0,5,0%,44.8
https://www.smdmedicare.in/product/technomed-c-arm-compatible-hydraulic-ot-table-tmi-1202,0,4,0%,2.25
https://www.smdmedicare.in/product/sunmax-spica-40kw-hf-digital-radiography-system,0,4,0%,6.0
https://www.smdmedicare.in/product/fine-one-quantum-brass-stainless-steel-stethoscope,0,4,0%,6.25
https://www.smdmedicare.in/product/medisys-grand-anesthesia-machine-workstation,0,4,0%,8.5
https://www.smdmedicare.in/product/100ma-fixed-x-ray-machine-with-horizontal-bucky-table,0,4,0%,8.75
https://www.smdmedicare.in/category/hospital-furniture/ot-table,0,4,0%,48.5
https://www.smdmedicare.in/product/nipro-surdial-55-plus-hemodialysis-machine,0,3,0%,1.33
https://www.smdmedicare.in/product/100ma-spring-balance-mobile-x-ray-unit,0,3,0%,6.0
https://www.smdmedicare.in/blog/smd-medicare-buy-medical-equipment-online-in-india-at-best-prices,0,3,0%,7.33
https://www.smdmedicare.in/category/orthopedics,0,3,0%,8.33
https://www.smdmedicare.in/category/medical-devices/ambulatory-blood-pressure-monitor,0,3,0%,9.33
https://www.smdmedicare.in/category/cardiology/stents,0,3,0%,85.33
https://www.smdmedicare.in/category/medical-equipment/ventilator,0,2,0%,1.0
https://www.smdmedicare.in/product/300ma-x-ray-machine-with-floating-top-table,0,2,0%,1.0
https://www.smdmedicare.in/product/blood-tubing-set,0,2,0%,1.5
https://www.smdmedicare.in/product/creatinine-meter-m421,0,2,0%,1.5
https://www.smdmedicare.in/product/ventilus-15t-with-turbine-ventilator,0,2,0%,4.0
https://www.smdmedicare.in/blog/choosing-reliable-patient-monitors-oximetry-devices-for-small-clinics-hospitals,0,2,0%,6.5
https://www.smdmedicare.in/category/raw-material,0,2,0%,7.0
https://www.smdmedicare.in/category/cardiology,0,2,0%,7.5
https://www.smdmedicare.in/product/niscomed-three-channel-ecg-holter-machine,0,2,0%,9.5
https://www.smdmedicare.in/product/icu-bed-chair-position-dhf-901,0,2,0%,30.5
https://www.smdmedicare.in/product/100mA-fixed-x-ray-machine-with-horizontal-bucky-table,0,1,0%,1.0
https://www.smdmedicare.in/product/medisys-carewel-icu-ventilator-with-compressor-without-humidifier-cw03,0,1,0%,1.0
https://www.smdmedicare.in/product/niscomed-six-channel-ecg-machine,0,1,0%,1.0
https://www.smdmedicare.in/product/renaclean-cold-sterilant-5-litre,0,1,0%,1.0
https://www.smdmedicare.in/product/blood-tubing-set-with-transducer-protector,0,1,0%,2.0
https://www.smdmedicare.in/category/diagnostics/mri-machines,0,1,0%,3.0
https://www.smdmedicare.in/product/auto-refractometer,0,1,0%,3.0
https://www.smdmedicare.in/product/medisys-anomaly-anesthesia-machine,0,1,0%,3.0
https://smdmedicare.in/product/optiview-lm-300-auto-lensometer,0,1,0%,4.0
https://www.smdmedicare.in/blog/quality-assurance-guidelines-for-elisa-kits-rapid-diagnostic-tests-in-diagnostic-facilities,0,1,0%,7.0
https://www.smdmedicare.in/product/medisys-supreme-anesthesia-machine,0,1,0%,11.0
