Commercial Query,Ranking Page URL,Clicks,Impressions,CTR,Average Position,Status
dialysis machine price,https://www.smdmedicare.in/category/hospital-equipment/dialysis-machines,2,210,0.95%,13.53,Tracked in GSC
dialysis machine price in india,https://www.smdmedicare.in/category/hospital-equipment/dialysis-machines,1,195,0.51%,12.75,Tracked in GSC
price of dialysis machine in india,https://www.smdmedicare.in/category/hospital-equipment/dialysis-machines,0,24,0%,13.38,Tracked in GSC
dialysis machine cost,https://www.smdmedicare.in/category/hospital-equipment/dialysis-machines,0,15,0%,15.6,Tracked in GSC
dialysis machine rate,https://www.smdmedicare.in/category/hospital-equipment/dialysis-machines,0,12,0%,9.58,Tracked in GSC
anesthesia machine price,https://www.smdmedicare.in/category/hospital-equipment/anesthesia-machines,0,35,0%,12.69,Tracked in GSC
anesthesia workstation price,https://www.smdmedicare.in/category/hospital-equipment/anesthesia-machines,0,27,0%,15.7,Tracked in GSC
hospital bed price,Not available (Zero impressions in selected period),0,0,N/A,N/A,Zero Impressions
x ray machine price,https://www.smdmedicare.in/category/radiology/x-ray-machines,0,11,0%,35.0,Tracked in GSC
portable x ray machine price,Not available (Zero impressions in selected period),0,0,N/A,N/A,Zero Impressions
portable ultrasound price,Not available (Zero impressions in selected period),0,0,N/A,N/A,Zero Impressions
c arm machine price,Not available (Zero impressions in selected period),0,0,N/A,N/A,Zero Impressions
auto refractometer price,Not available (Zero impressions in selected period),0,0,N/A,N/A,Zero Impressions
lensometer price,https://www.smdmedicare.in/product/optiview-lm-300-auto-lensometer,0,1,0%,6.0,Tracked in GSC
medical equipment price,Not available (Zero impressions in selected period),0,0,N/A,N/A,Zero Impressions
