Country,Clicks,Impressions,CTR,Position
India,46,2272,2.02%,14.87
United Arab Emirates,1,11,9.09%,5.82
South Korea,1,5,20%,8.4
Nepal,1,4,25%,11.5
Argentina,1,3,33.33%,4.67
Italy,1,2,50%,8.0
Sweden,1,2,50%,9.0
Finland,1,1,100%,2.0
Ireland,1,1,100%,2.0
United States,0,111,0%,23.04
Philippines,0,34,0%,5.65
Mexico,0,16,0%,3.88
United Kingdom,0,9,0%,14.44
Australia,0,9,0%,15.0
Bangladesh,0,9,0%,19.67
Hong Kong,0,8,0%,6.88
Pakistan,0,7,0%,4.86
Thailand,0,7,0%,6.0
Malaysia,0,5,0%,2.2
Netherlands,0,5,0%,11.4
Saudi Arabia,0,4,0%,3.0
Indonesia,0,4,0%,4.5
Canada,0,4,0%,6.75
Colombia,0,4,0%,7.0
South Sudan,0,4,0%,10.5
Spain,0,3,0%,2.0
Germany,0,3,0%,3.67
Sri Lanka,0,3,0%,7.33
Myanmar (Burma),0,3,0%,8.67
Vietnam,0,3,0%,42.67
Chile,0,2,0%,1.0
Mongolia,0,2,0%,1.5
Yemen,0,2,0%,1.5
South Africa,0,2,0%,2.5
Qatar,0,2,0%,3.0
Brazil,0,2,0%,4.5
China,0,2,0%,5.0
Czechia,0,2,0%,8.0
Poland,0,2,0%,15.0
Japan,0,2,0%,56.5
Ethiopia,0,1,0%,1.0
Hungary,0,1,0%,1.0
Taiwan,0,1,0%,1.0
Austria,0,1,0%,3.0
Turkey,0,1,0%,4.0
Uganda,0,1,0%,4.0
Belgium,0,1,0%,5.0
Kenya,0,1,0%,7.0
Bahrain,0,1,0%,8.0
Egypt,0,1,0%,9.0
Portugal,0,1,0%,9.0
Romania,0,1,0%,10.0
Singapore,0,1,0%,10.0
Bhutan,0,1,0%,11.0
Iran,0,1,0%,11.0
Maldives,0,1,0%,11.0
Oman,0,1,0%,11.0
Somalia,0,1,0%,11.0
Zimbabwe,0,1,0%,11.0
Tanzania,0,1,0%,14.0
Cyprus,0,1,0%,21.0
Denmark,0,1,0%,34.0
Switzerland,0,1,0%,38.0
