Date,Impressions
2026-08-13,0
2026-08-14,0
2026-08-15,0
2026-08-16,5
2026-08-17,3
2026-08-18,0
2026-08-19,0
2026-08-20,2
2026-08-21,0
2026-08-22,0
2026-08-23,1
2026-08-24,1
2026-08-25,0
2026-08-26,1
2026-08-27,0
2026-08-28,2
2026-08-29,2
2026-08-30,9
2026-08-31,6
2026-09-01,9
2026-09-02,5
2026-09-03,6
2026-09-04,12
2026-09-05,3
2026-09-06,5
2026-09-07,8
2026-09-08,5
2026-09-09,13
2026-09-10,16
2026-09-11,18
2026-09-12,12
2026-09-13,26
2026-09-14,12
2026-09-15,23
2026-09-16,28
2026-09-17,26
2026-09-18,22
2026-09-19,30
